problem,inst,time_CPU,choices,conflicts,backtracks,backjumps,restarts,jumps,atoms,rules,bodies,equivalences,variables,eliminated,frozen,constraints,nHornClauses,nDualHornClauses,maxClauseSize,maxPositiveClauseSize,maxNegativeClauseSize,numVPosLitH,numVPosLit,numVNegLitH,numVNegLit,maxPosRSizeC,maxPosRSizeNC,numAtomOccC,numAtomOccNC,maxNumAtomOcc,maxNumPosOccA,maxNumNegOccA,dWidth,dEdges,dNodes,iWidth,iEdges,iNodes,rEdges0,rNodes0,rWidths0,rEdges1,rNodes1,rWidths1,rEdges2,rNodes2,rWidths2,rEdges3,rNodes3,rWidths3,rEdges4,rNodes4,rWidths4,rEdges5,rNodes5,rWidths5,rEdges6,rNodes6,rWidths6,rEdges7,rNodes7,rWidths7,rEdges8,rNodes8,rWidths8,rEdges9,rNodes9,rWidths9,problem_width
MazeGeneration,maze-generation-width=21-height=21-density=0.01-run=4,0.016,832,139,0,139,1,139,3485,6128,3796,6118,2058,0,1704,7686,2798,1623,361,361,2,715,355,715,355,361,5,13160,3933,1999,1999,9,120,14401,4951,,14401,4951,10216,4951,84,14177,4951,118,14233,4951,116,13096,4951,98,12715,4951,89,14282,4951,118,14359,4951,112,14273,4951,118,14381,4951,117,13993,4951,118,
HanoiTower,mgs_towers-hanoi.110_7,8.672,238745,91372,20,91352,254,91352,23177,62950,54124,40344,32816,0,2280,111915,6634,38605,22,22,1,14639,6105,3191,0,22,4,166192,7110,17174,17174,3,,170272,79516,,170272,79516,146893,79516,,167119,79516,,169787,79516,,156100,79516,,168659,79516,,169215,79516,,169834,79516,,169061,79516,,169257,79516,,160392,79516,,
HanoiTower,mgs_towers-hanoi.113_7,6.313,225454,72633,35,72598,220,72598,23806,64679,55614,41401,33760,0,2350,114595,6816,39670,22,22,1,15040,6273,3278,0,22,4,170754,7325,17642,17642,3,,174970,81699,,174970,81699,158181,81699,,167996,81699,,168165,81699,,163149,81699,,172982,81699,,173373,81699,,174345,81699,,171038,81699,,173267,81699,,166721,81699,,
HanoiTower,mgs_towers-hanoi.16_50.6,1.047,30466,22318,4,22314,92,22314,6394,37319,13459,3560,3707,0,496,11674,10864,22438,10,10,1,1631,1563,207,207,10,3,87598,20509,14702,14702,36,,107426,42964,,107426,42964,90480,42964,,104732,42964,,105838,42964,,105554,42964,,106662,42964,,102326,42964,,107150,42964,,105886,42964,,107002,42964,,102834,42964,,
HanoiTower,mgs_towers-hanoi.30_7,0.156,8651,2735,13,2722,14,2722,6459,17286,14774,11083,8552,0,602,28108,1836,10460,22,22,1,3911,1618,871,0,22,4,44523,2831,4694,4694,3,,46486,21856,,46486,21856,40922,21856,,44562,21856,,44474,21856,,43858,21856,,45952,21856,,46304,21856,,46056,21856,,46232,21856,,46154,21856,,45078,21856,,
HanoiTower,mgs_towers-hanoi.32_7,0.141,5412,1951,5,1946,13,1946,6874,18404,15736,11839,9094,0,639,30345,1953,11146,22,22,1,4187,1737,929,0,22,4,47557,2869,5006,5006,3,,49501,23268,,49501,23268,45142,23268,,43707,23268,,49501,23268,,47552,23268,,49152,23268,,48917,23268,,49470,23268,,48657,23268,,49317,23268,,48101,23268,,
HanoiTower,mgs_towers-hanoi.33_6,0.984,39229,30736,6,30730,175,30730,6207,36209,13057,3456,3589,0,477,11261,10536,21768,10,10,1,1580,1514,200,200,10,3,84880,20002,14265,14265,36,,104220,41687,489,104220,41687,99510,41687,,101926,41687,,99636,41687,,102326,41687,,101298,41687,,102788,41687,,102752,41687,,98136,41687,,102424,41687,,99736,41687,,
HanoiTower,mgs_towers-hanoi.36_6,1.563,56490,43330,8,43322,154,43322,6768,39539,14263,3766,3939,0,528,12654,11520,23778,10,10,1,1731,1659,219,219,10,3,92874,21683,15576,15576,36,,113838,45518,,113838,45518,101586,45518,,112322,45518,,109488,45518,,110664,45518,,112786,45518,,111270,45518,,113378,45518,,112138,45518,,112848,45518,,107128,45518,,
HanoiTower,mgs_towers-hanoi.39_6,1.25,50624,36255,7,36248,140,36248,7329,42869,15469,4080,4285,0,567,13517,12504,25788,10,10,1,1880,1802,236,236,10,3,100708,23524,16887,16887,36,,123456,49349,,123456,49349,115460,49349,,109136,49349,,116974,49349,,122996,49349,,123084,49349,,119732,49349,,120924,49349,,121740,49349,,122496,49349,,119580,49349,,
HanoiTower,mgs_towers-hanoi.41_7,0.828,33809,20588,4,20584,69,20584,9348,55318,19874,5192,5648,0,681,18378,16206,33364,11,11,1,2414,2332,290,290,11,3,132612,27881,21743,21743,40,,159592,63685,,159592,63685,150710,63685,,150468,63685,,158012,63685,,147116,63685,,150980,63685,,157628,63685,,157092,63685,,157364,63685,,157680,63685,,154512,63685,,
